,user_id,created_time,object_type,url,page_type
0,1,Fri Jun  1 06:08:23 2018,NaN,notification,notification
1,1,Fri Jun  1 06:08:25 2018,NaN,content-notification,content_notif
2,1,Fri Jun  1 06:08:29 2018,5.0,event-detail/5170/30866,event page
3,1,Fri Jun  1 06:08:30 2018,2.0,event-detail/5170/30866,group page
4,1,Fri Jun  1 06:08:57 2018,NaN,notification,notification
5,1,Fri Jun  1 06:09:03 2018,NaN,group-notification,group notification
6,1,Fri Jun  1 06:13:55 2018,NaN,main-home,main home
7,1,Fri Jun  1 17:32:13 2018,NaN,notification,notification
8,1,Fri Jun  1 17:32:17 2018,1.0,profile/180095,profile page
9,1,Fri Jun  1 17:32:19 2018,NaN,main-home,main home
10,1,Fri Jun  1 17:32:25 2018,NaN,notification,notification
11,1,Fri Jun  1 17:32:26 2018,NaN,group-notification,group notification
12,1,Fri Jun  1 17:32:42 2018,NaN,content-notification,content_notif
13,1,Fri Jun  1 19:55:51 2018,NaN,group-home/1242,group home
14,1,Fri Jun  1 19:55:51 2018,2.0,group-home/1242,group page
15,1,Fri Jun  1 19:55:55 2018,NaN,group-library/1242/,library
16,1,Sun Jun  3 17:40:03 2018,NaN,group-notification,group notification
17,1,Sun Jun  3 17:40:14 2018,NaN,main-home,main home
18,1,Sun Jun  3 19:18:00 2018,NaN,myGroups,mygroups
19,1,Mon Jun  4 03:48:32 2018,NaN,myGroups,mygroups
20,1,Mon Jun  4 03:48:42 2018,NaN,group-notification,group notification
21,1,Mon Jun  4 03:48:55 2018,NaN,main-home,main home
22,1,Mon Jun  4 21:26:27 2018,NaN,group-about/1037/,about page
23,1,Mon Jun  4 21:26:28 2018,2.0,group-about/1037/,group page
24,1,Mon Jun  4 22:16:50 2018,NaN,content-notification,content_notif
25,1,Mon Jun  4 22:16:54 2018,NaN,group-home/1136,group home
26,1,Mon Jun  4 22:16:56 2018,2.0,group-home/1136,group page
27,1,Mon Jun  4 22:16:59 2018,NaN,group-library/1136/,library
28,1,Mon Jun  4 22:17:20 2018,2.0,document-reader/3adf6d99-dd07-11e7-a162-022ab9c25860/1136/25117/1136/0/?tabval=full,group page
29,1,Mon Jun  4 22:17:23 2018,14.0,document-reader/3adf6d99-dd07-11e7-a162-022ab9c25860/1136/25117/1136/0/?tabval=full,document detail
30,1,Mon Jun  4 22:18:05 2018,NaN,group-library/1136/,library
31,1,Mon Jun  4 22:18:05 2018,NaN,main-home,main home
32,1,Mon Jun  4 22:18:06 2018,2.0,main-home,group page
33,1,Mon Jun  4 22:18:12 2018,NaN,group-library/1136/,library
34,1,Mon Jun  4 22:18:18 2018,2.0,document-reader/3ebc191b-e4d9-11e7-a162-022ab9c25860/1136/25297/1136/0/?tabval=full,group page
35,1,Mon Jun  4 22:18:20 2018,14.0,document-reader/3ebc191b-e4d9-11e7-a162-022ab9c25860/1136/25297/1136/0/?tabval=full,document detail
36,1,Mon Jun  4 22:18:26 2018,NaN,group-library/1136/,library
37,1,Mon Jun  4 22:18:32 2018,2.0,document-reader/5b7f6277-dc62-11e7-a162-022ab9c25860/1136/25105/1136/0/?tabval=full,group page
38,1,Mon Jun  4 22:18:34 2018,14.0,document-reader/5b7f6277-dc62-11e7-a162-022ab9c25860/1136/25105/1136/0/?tabval=full,document detail
39,1,Mon Jun  4 22:18:54 2018,NaN,group-library/1136/,library
40,1,Mon Jun  4 22:19:11 2018,2.0,document-reader/05615c6f-dc3a-11e7-a162-022ab9c25860/1136/25089/1136/0/?tabval=full,group page
41,1,Mon Jun  4 22:19:12 2018,14.0,document-reader/05615c6f-dc3a-11e7-a162-022ab9c25860/1136/25089/1136/0/?tabval=full,document detail
42,1,Mon Jun  4 22:19:41 2018,NaN,group-library/1136/,library
43,1,Mon Jun  4 22:20:10 2018,2.0,document-reader/64a0f8ec-dc43-11e7-a162-022ab9c25860/1136/25096/1136/0/?tabval=full,group page
44,1,Mon Jun  4 22:20:18 2018,14.0,document-reader/64a0f8ec-dc43-11e7-a162-022ab9c25860/1136/25096/1136/0/?tabval=full,document detail
45,1,Mon Jun  4 22:20:30 2018,NaN,group-library/1136/,library
46,1,Mon Jun  4 22:20:40 2018,2.0,document-reader/006de23a-e11a-11e7-a162-022ab9c25860/1136/25227/1136/0/?tabval=full,group page
47,1,Mon Jun  4 22:20:42 2018,14.0,document-reader/006de23a-e11a-11e7-a162-022ab9c25860/1136/25227/1136/0/?tabval=full,document detail
48,1,Tue Jun  5 00:48:46 2018,NaN,myGroups,mygroups
49,1,Tue Jun  5 00:48:48 2018,NaN,group-home/1813,group home
