,user_id,created_time,object_type,url,page_type,url_split
1759,5,Tue Jun 26 22:46:53 2018,,group-admin-members/3?filter=requestedList&track_id=5af34352c803a05a6c535146&src=n,group admin,group-admin-members
1760,5,Tue Jun 26 22:46:53 2018,2.0,group-admin-members/3?filter=requestedList,group page,group-admin-members
1761,5,Tue Jun 26 22:49:04 2018,,myGroups,mygroups,myGroups
1762,5,Tue Jun 26 22:49:08 2018,,group-home/478,group home,group-home
1763,5,Tue Jun 26 22:49:09 2018,2.0,group-home/478,group page,group-home
1764,5,Tue Jun 26 22:49:30 2018,3.0,discussions-about/28222/0/,discussion page,discussions-about
1765,5,Tue Jun 26 22:50:00 2018,,group-home/478,group home,group-home
1766,5,Tue Jun 26 22:50:04 2018,,document-detail/130b96a4-7949-11e8-9f39-06e1b31daef4/478/478,document detail,document-detail
1768,5,Tue Jun 26 22:50:06 2018,14.0,document-reader/130b96a4-7949-11e8-9f39-06e1b31daef4/478/30120/478/0/?tabval=full,document detail,document-reader
1967,34,Fri Jun  1 05:39:24 2018,3.0,discussions-reply/29629/30872?track_id=5b108e26c803a00aeb27b963&src=n,discussion page,discussions-reply
1969,34,Fri Jun  1 19:46:17 2018,3.0,discussions-reply/29629/30874?track_id=5b10a032c803a00aeb27b975&src=n,discussion page,discussions-reply
1971,34,Sat Jun  2 06:26:04 2018,3.0,discussions-reply/29629/30912?track_id=5b11e7ddc803a0055e11d8d7&src=n,discussion page,discussions-reply
1973,34,Mon Jun  4 15:45:47 2018,3.0,discussions-reply/29629/30912,discussion page,discussions-reply
1975,34,Mon Jun  4 15:45:53 2018,,site-home?track_id=5b11e7ddc803a0055e11d8d7&src=n,site home,site-home
1976,34,Wed Jun  6 01:01:54 2018,3.0,discussions-reply/29629/30874,discussion page,discussions-reply
2016,39,Wed Jun 13 21:22:20 2018,3.0,discussions-reply/29861/31097,discussion page,discussions-reply
2110,48,Wed Jun 13 00:39:56 2018,14.0,document-reader/b80a4aaa-547c-11e8-9f39-06e1b31daef4/967/29334/967/0/?tabval=full,document detail,document-reader
2112,48,Tue Jun 19 23:20:42 2018,14.0,document-reader/c183d438-73e4-11e8-b504-022ab9c25860/967/29952/967/?track_id=5b293f7fc803a00bf51c5193&src=n,document detail,document-reader
2114,48,Tue Jun 19 23:21:12 2018,14.0,document-reader/c183d438-73e4-11e8-b504-022ab9c25860/967/29952/967/?tabval=anno,document detail,document-reader
2115,60,Tue Jun 12 22:12:07 2018,,pendingConnections?track_id=5a84a8b9aa9430e04a8b49cf&src=n,pending connection,pendingConnections
2116,60,Tue Jun 12 22:12:16 2018,,profile-edit/60,profile edit,profile-edit
2117,60,Tue Jun 12 22:12:16 2018,1.0,profile/60,profile page,profile
2118,60,Tue Jun 12 22:14:46 2018,,profile-edit/60,profile edit,profile-edit
2119,60,Tue Jun 12 22:14:46 2018,1.0,profile/60,profile page,profile
2120,80,Fri Jun  8 20:48:15 2018,5.0,event-detail/5359?track_id=5b159413c803a03fb812c68b&src=n,event page,event-detail
2122,80,Fri Jun  8 20:49:04 2018,5.0,event-detail/5359?track_id=5b159413c803a03fb812c68b&src=n,event page,event-detail
2546,102,Fri Jun 15 20:57:55 2018,,status-reply/29904/?track_id=5b237b64c803a03df067f5f1&src=n,status reply,status-reply
2547,102,Fri Jun 15 20:57:56 2018,2.0,status-reply/29904/,group page,status-reply
2548,102,Fri Jun 15 20:58:09 2018,,main-home,main home,main-home
2549,102,Fri Jun 15 20:58:37 2018,3.0,discussions-about/29782/0#commentList,discussion page,discussions-about
2551,102,Fri Jun 15 20:58:49 2018,,main-home,main home,main-home
2552,105,Fri Jun 22 20:27:31 2018,3.0,discussions-about/29974/,discussion page,discussions-about
2554,105,Sat Jun 23 00:55:26 2018,3.0,discussions-about/29974/,discussion page,discussions-about
2556,105,Sat Jun 23 21:38:03 2018,5.0,event-detail/5418?track_id=5b2e2140c803a073ed6b516b&src=d,event page,event-detail
2558,105,Wed Jun 27 19:47:12 2018,,main-home,main home,main-home
2559,105,Wed Jun 27 19:47:29 2018,3.0,discussions-about/29974/0/,discussion page,discussions-about
2561,105,Wed Jun 27 19:49:44 2018,3.0,discussions-about/29974/0/,discussion page,discussions-about
2630,128,Fri Jun 29 19:00:12 2018,,main-home,main home,main-home
2631,128,Fri Jun 29 19:00:18 2018,,myGroups,mygroups,myGroups
2695,149,Wed Jun 20 21:57:31 2018,3.0,discussions-reply/29964/?track_id=5b2a7eb4c803a00c095060e0&src=n,discussion page,discussions-reply
2697,149,Fri Jun 22 16:52:04 2018,3.0,discussions-reply/30008/?track_id=5b2cd2f3c803a054cc753fbd&src=n,discussion page,discussions-reply
2699,149,Fri Jun 22 17:01:21 2018,,notification,notification,notification
2983,170,Sat Jun  2 01:27:43 2018,14.0,document-reader/c5096f0d-65d1-11e8-9f39-06e1b31daef4/41/29703/41/?track_id=5b11a2c2c803a05f774845ec&src=n,document detail,document-reader
2985,170,Sat Jun 30 18:47:44 2018,14.0,document-reader/0773b679-7bde-11e8-b504-022ab9c25860/41/30248/41/0/1?track_id=5b36a036c803a00dcf25f8f3&src=n,document detail,document-reader
3510,203,Wed Jun 27 18:58:09 2018,,main-home,main home,main-home
3511,203,Wed Jun 27 18:59:00 2018,,group-about/3,about page,group-about
3512,203,Wed Jun 27 18:59:02 2018,2.0,group-about/3,group page,group-about
3513,203,Wed Jun 27 18:59:33 2018,,group-home/19,group home,group-home
3514,203,Wed Jun 27 18:59:34 2018,2.0,group-home/19,group page,group-home
3515,237,Wed Jun 13 01:05:53 2018,,document-detail/d219ecc1-6b50-11e8-9f39-06e1b31daef4/1463/1463,document detail,document-detail
3516,237,Wed Jun 13 01:05:54 2018,2.0,document-detail/d219ecc1-6b50-11e8-9f39-06e1b31daef4/1463/1463,group page,document-detail
3518,237,Wed Jun 13 01:05:56 2018,14.0,document-reader/d219ecc1-6b50-11e8-9f39-06e1b31daef4/1463/29821/1463/0/?tabval=full,document detail,document-reader
3532,244,Tue Jun 19 19:18:39 2018,3.0,discussions-about/29941/?track_id=5b28db40c803a00beb0b3f1a&src=d,discussion page,discussions-about
3534,250,Tue Jun 26 04:23:32 2018,5.0,event-detail/5418?track_id=5b2d4638c803a00cce1f1a07&src=n,event page,event-detail
3536,250,Tue Jun 26 04:23:49 2018,3.0,discussions-about/29974/0,discussion page,discussions-about
3537,256,Tue Jun 26 23:17:00 2018,,group-about/1865?track_id=5b300ceec803a03f1e72ad93&src=n,about page,group-about
3584,297,Tue Jun 12 22:26:44 2018,,group-discussions/1136,discussion,group-discussions
3585,297,Tue Jun 12 22:26:47 2018,2.0,group-discussions/1136,group page,group-discussions
3586,297,Tue Jun 12 22:27:10 2018,,search?search_text=community%20playbook&object_type=0,search,search
3587,297,Tue Jun 12 22:59:14 2018,3.0,discussions-reply/29538/31053?track_id=5b1f15aec803a0587e122ce2&src=n,discussion page,discussions-reply
3590,297,Wed Jun 27 03:30:24 2018,3.0,discussions-about/30146/?track_id=5b32a5cec803a0775860158c&src=n,discussion page,discussions-about
3610,320,Fri Jun 15 21:34:16 2018,3.0,discussions-about/29884/0/1?track_id=5b214384c803a01a5d79e3d5&src=n,discussion page,discussions-about
3613,320,Fri Jun 15 21:46:05 2018,3.0,discussions-about/29884/0/1,discussion page,discussions-about
3615,320,Fri Jun 15 23:32:22 2018,3.0,discussions-about/29884/0/1,discussion page,discussions-about
3940,383,Fri Jun 29 21:15:31 2018,4.0,status/30116/?track_id=5b3650c9c803a0739b7027c9&src=w,status,status
3941,385,Wed Jun 20 19:25:15 2018,3.0,discussions-about/29788/0/,discussion page,discussions-about
3943,386,Thu Jun 28 00:27:45 2018,,document-detail/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/1354,document detail,document-detail
3944,386,Thu Jun 28 00:27:47 2018,2.0,document-detail/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/1354,group page,document-detail
3946,386,Thu Jun 28 00:27:52 2018,14.0,document-reader/d32a83d8-7a19-11e8-b504-022ab9c25860/1354/30157/1354/0/?tabval=full,document detail,document-reader
3947,386,Thu Jun 28 00:35:22 2018,,main-home,main home,main-home
3949,392,Thu Jun 14 16:26:04 2018,14.0,document-reader/17ab5e4c-6b37-11e8-9f39-06e1b31daef4/41/29817/41/?track_id=5b1ab028c803a079c47b39f5&src=n,document detail,document-reader
3950,392,Thu Jun 14 16:27:37 2018,,group-library/41,library,group-library
3951,392,Thu Jun 14 16:27:43 2018,,main-home,main home,main-home
3952,392,Thu Jun 14 16:27:54 2018,1.0,profile/1,profile page,profile
4007,443,Thu Jun 14 22:56:13 2018,3.0,discussions-about/29788/0/,discussion page,discussions-about
4009,443,Wed Jun 27 18:41:21 2018,3.0,discussions-about/30132/?track_id=5b33674ac803a037bf3ce8b1&src=d,discussion page,discussions-about
4011,459,Sat Jun  2 01:21:07 2018,4.0,status/29702/0/1?track_id=5b119b08c803a02d4e66912c&src=n,status,status
4013,459,Thu Jun 14 01:03:21 2018,3.0,discussions-reply/29884/?track_id=5b214385c803a01a5d79e3da&src=n,discussion page,discussions-reply
4015,461,Fri Jun 22 20:34:02 2018,,main-home,main home,main-home
4016,461,Fri Jun 22 20:34:07 2018,,discussions,discussion,discussions
4017,461,Fri Jun 22 20:34:38 2018,3.0,discussions-about/24523/0/,discussion page,discussions-about
4019,461,Fri Jun 22 20:34:55 2018,3.0,discussions-about/24523/0/,discussion page,discussions-about
4021,474,Tue Jun 26 02:18:48 2018,3.0,discussions-about/24523/0/,discussion page,discussions-about
4023,474,Tue Jun 26 02:19:07 2018,,document-detail/cba0736c-d433-11e7-a162-022ab9c25860/3/3,document detail,document-detail
4025,474,Tue Jun 26 02:19:11 2018,14.0,document-reader/cba0736c-d433-11e7-a162-022ab9c25860/3/24575/3/0/?tabval=full,document detail,document-reader
4026,495,Sun Jun 24 21:35:55 2018,,group-about/3,about page,group-about
4027,495,Sun Jun 24 21:35:57 2018,2.0,group-about/3,group page,group-about
4029,506,Tue Jun  5 00:00:30 2018,14.0,document-reader/c1fcaa5c-65b4-11e8-9f39-06e1b31daef4/3/29688/3/?track_id=5b1271c4c803a05f77484a5a&src=d,document detail,document-reader
